16,16,0,30000,200000,500000,1000000,1000000,12000
17,17,0,30000,200000,500000,1000000,1000000,11900
18,18,0,30000,200000,500000,1000000,1000000,11800
19,19,0,30000,200000,500000,1000000,1000000,11300
20,20,0,30000,200000,500000,1000000,1000000,10800
21,21,0,30000,200000,500000,1000000,1000000,10200
22,22,0,30000,200000,500000,1000000,1000000,9500
23,23,0,30000,200000,500000,1000000,1000000,8800
24,24,0,30000,200000,500000,1000000,1000000,7900
25,25,0,30000,200000,500000,1000000,1000000,6900
26,26,0,30000,200000,500000,1000000,1000000,5800
27,27,0,30000,200000,500000,1000000,1000000,4500
28,28,0,30000,200000,500000,1000000,1000000,3200
29,29,0,30000,200000,500000,1000000,1000000,1700
30,30,0,30000,200000,500000,1000000,1000000,0
